revision,layer,P1,P2
step64,0,1.0,1.0
step64,1,0.9573974609375,0.98515625
step64,2,0.916259765625,0.9759765625
step64,3,0.88525390625,0.97353515625
step64,4,0.859375,0.971875
step64,5,0.849853515625,0.9728515625
step64,6,0.841552734375,0.9740234375
step64,7,0.8419189453125,0.976953125
step64,8,0.8424072265625,0.97841796875
step64,9,0.8514404296875,0.98154296875
step64,10,0.863525390625,0.983203125
step64,11,0.876220703125,0.98544921875
step64,12,0.8865966796875,0.98759765625
step64,13,0.8984375,0.98955078125
step64,14,0.90966796875,0.991015625
step64,15,0.921142578125,0.9921875
step64,16,0.9332275390625,0.99462890625
step256,0,1.0009765625,1.0009765625
step256,1,0.955322265625,0.98505859375
step256,2,0.89892578125,0.97294921875
step256,3,0.870849609375,0.96962890625
step256,4,0.771484375,0.9568359375
step256,5,0.71923828125,0.9509765625
step256,6,0.6900634765625,0.9419921875
step256,7,0.67626953125,0.944921875
step256,8,0.6455078125,0.9435546875
step256,9,0.63916015625,0.944921875
step256,10,0.6409912109375,0.9474609375
step256,11,0.6495361328125,0.95
step256,12,0.6710205078125,0.95517578125
step256,13,0.7008056640625,0.9603515625
step256,14,0.7271728515625,0.965234375
step256,15,0.7486572265625,0.96796875
step256,16,0.775390625,0.9708984375
step1000,0,1.0,1.0
step1000,1,0.940673828125,0.98818359375
step1000,2,0.892822265625,0.8873046875
step1000,3,0.8941650390625,0.90166015625
step1000,4,0.7740478515625,0.7580078125
step1000,5,0.73681640625,0.78486328125
step1000,6,0.6661376953125,0.8033203125
step1000,7,0.57763671875,0.816015625
step1000,8,0.5419921875,0.8197265625
step1000,9,0.537353515625,0.821484375
step1000,10,0.499755859375,0.82861328125
step1000,11,0.50494384765625,0.82646484375
step1000,12,0.519287109375,0.83515625
step1000,13,0.515625,0.83212890625
step1000,14,0.49920654296875,0.84404296875
step1000,15,0.5067138671875,0.85771484375
step1000,16,0.50445556640625,0.8765625
step3000,0,1.0,1.0
step3000,1,0.95458984375,0.97900390625
step3000,2,0.933837890625,0.75068359375
step3000,3,0.918701171875,0.7306640625
step3000,4,0.8597412109375,0.64833984375
step3000,5,0.84375,0.6419921875
step3000,6,0.8018798828125,0.63701171875
step3000,7,0.7314453125,0.6517578125
step3000,8,0.6788330078125,0.67353515625
step3000,9,0.6536865234375,0.67138671875
step3000,10,0.5899658203125,0.70234375
step3000,11,0.5955810546875,0.7150390625
step3000,12,0.5948486328125,0.7390625
step3000,13,0.5858154296875,0.74169921875
step3000,14,0.5650634765625,0.76337890625
step3000,15,0.566162109375,0.79443359375
step3000,16,0.5914306640625,0.81494140625
step18000,0,0.99951171875,0.99951171875
step18000,1,0.98876953125,0.92763671875
step18000,2,0.981689453125,0.81064453125
step18000,3,0.9664306640625,0.748046875
step18000,4,0.936767578125,0.680859375
step18000,5,0.914794921875,0.65751953125
step18000,6,0.9019775390625,0.64677734375
step18000,7,0.8829345703125,0.68154296875
step18000,8,0.86083984375,0.70078125
step18000,9,0.865234375,0.7158203125
step18000,10,0.8388671875,0.755078125
step18000,11,0.844970703125,0.7609375
step18000,12,0.83935546875,0.77587890625
step18000,13,0.832275390625,0.7826171875
step18000,14,0.807373046875,0.7955078125
step18000,15,0.783203125,0.7966796875
step18000,16,0.6302490234375,0.6546875
step48000,0,1.0,1.0
step48000,1,0.9912109375,0.88251953125
step48000,2,0.9854736328125,0.8099609375
step48000,3,0.971435546875,0.7587890625
step48000,4,0.947509765625,0.74599609375
step48000,5,0.932373046875,0.74091796875
step48000,6,0.920166015625,0.74580078125
step48000,7,0.8994140625,0.76533203125
step48000,8,0.8837890625,0.786328125
step48000,9,0.8953857421875,0.80048828125
step48000,10,0.8909912109375,0.82666015625
step48000,11,0.8895263671875,0.8279296875
step48000,12,0.8865966796875,0.842578125
step48000,13,0.872314453125,0.84873046875
step48000,14,0.858642578125,0.85966796875
step48000,15,0.82763671875,0.85517578125
step48000,16,0.63671875,0.67861328125
step78000,0,1.0009765625,1.0009765625
step78000,1,0.99267578125,0.8431640625
step78000,2,0.9847412109375,0.765625
step78000,3,0.9700927734375,0.69580078125
step78000,4,0.943359375,0.671875
step78000,5,0.922119140625,0.67646484375
step78000,6,0.900634765625,0.68291015625
step78000,7,0.8758544921875,0.7146484375
step78000,8,0.86279296875,0.7396484375
step78000,9,0.86474609375,0.74345703125
step78000,10,0.8643798828125,0.786328125
step78000,11,0.8590087890625,0.780078125
step78000,12,0.8544921875,0.80390625
step78000,13,0.850830078125,0.823046875
step78000,14,0.8358154296875,0.8439453125
step78000,15,0.819580078125,0.85654296875
step78000,16,0.627197265625,0.6373046875
step108000,0,1.0009765625,1.0009765625
step108000,1,0.9912109375,0.8220703125
step108000,2,0.9815673828125,0.7236328125
step108000,3,0.9659423828125,0.6328125
step108000,4,0.9417724609375,0.627734375
step108000,5,0.9183349609375,0.62470703125
step108000,6,0.8978271484375,0.63779296875
step108000,7,0.8724365234375,0.67392578125
step108000,8,0.8572998046875,0.70009765625
step108000,9,0.8572998046875,0.7072265625
step108000,10,0.8642578125,0.75400390625
step108000,11,0.8533935546875,0.7412109375
step108000,12,0.8541259765625,0.76552734375
step108000,13,0.8538818359375,0.7921875
step108000,14,0.8409423828125,0.8189453125
step108000,15,0.8193359375,0.82939453125
step108000,16,0.724609375,0.65078125
step143000,0,0.99951171875,0.99951171875
step143000,1,0.9913330078125,0.798828125
step143000,2,0.9801025390625,0.68984375
step143000,3,0.96240234375,0.593994140625
