revision,layer,P1,P2
step64,0,1.0,1.0
step64,1,0.9654541015625,0.9923828125
step64,2,0.921875,0.98740234375
step64,3,0.8922119140625,0.98642578125
step64,4,0.8746337890625,0.9869140625
step64,5,0.8604736328125,0.98798828125
step64,6,0.8587646484375,0.9892578125
step64,7,0.8604736328125,0.99111328125
step64,8,0.868896484375,0.99287109375
step64,9,0.8746337890625,0.99365234375
step64,10,0.884033203125,0.99443359375
step64,11,0.893798828125,0.99560546875
step64,12,0.9052734375,0.99638671875
step64,13,0.9154052734375,0.9966796875
step64,14,0.925537109375,0.9970703125
step64,15,0.9337158203125,0.99736328125
step64,16,0.942626953125,0.99833984375
step256,0,0.99951171875,0.99951171875
step256,1,0.9615478515625,0.99140625
step256,2,0.9134521484375,0.98359375
step256,3,0.883544921875,0.981640625
step256,4,0.845458984375,0.96220703125
step256,5,0.8192138671875,0.9603515625
step256,6,0.8155517578125,0.95751953125
step256,7,0.816162109375,0.959765625
step256,8,0.8170166015625,0.9587890625
step256,9,0.8212890625,0.9603515625
step256,10,0.825439453125,0.96171875
step256,11,0.8336181640625,0.9646484375
step256,12,0.8482666015625,0.96669921875
step256,13,0.86376953125,0.97099609375
step256,14,0.881103515625,0.976171875
step256,15,0.898681640625,0.9779296875
step256,16,0.9091796875,0.97919921875
step1000,0,1.0009765625,1.0009765625
step1000,1,0.942626953125,0.98798828125
step1000,2,0.9197998046875,0.8998046875
step1000,3,0.915771484375,0.9146484375
step1000,4,0.86376953125,0.7787109375
step1000,5,0.8345947265625,0.80947265625
step1000,6,0.8253173828125,0.850390625
step1000,7,0.8111572265625,0.87421875
step1000,8,0.8048095703125,0.8880859375
step1000,9,0.7991943359375,0.894140625
step1000,10,0.74755859375,0.909765625
step1000,11,0.7357177734375,0.91552734375
step1000,12,0.716796875,0.9205078125
step1000,13,0.7310791015625,0.92646484375
step1000,14,0.714599609375,0.93193359375
step1000,15,0.721435546875,0.9404296875
step1000,16,0.70849609375,0.94443359375
step3000,0,0.99951171875,0.99951171875
step3000,1,0.9439697265625,0.97587890625
step3000,2,0.9310302734375,0.7271484375
step3000,3,0.919189453125,0.72568359375
step3000,4,0.87646484375,0.65888671875
step3000,5,0.85888671875,0.651171875
step3000,6,0.8338623046875,0.68046875
step3000,7,0.799072265625,0.72353515625
step3000,8,0.7593994140625,0.745703125
step3000,9,0.7525634765625,0.74697265625
step3000,10,0.6715087890625,0.79228515625
step3000,11,0.6630859375,0.80009765625
step3000,12,0.6470947265625,0.8072265625
step3000,13,0.6456298828125,0.81796875
step3000,14,0.6317138671875,0.83525390625
step3000,15,0.675048828125,0.8673828125
step3000,16,0.7103271484375,0.8896484375
step18000,0,0.99951171875,0.99951171875
step18000,1,0.993896484375,0.93056640625
step18000,2,0.988525390625,0.80908203125
step18000,3,0.9810791015625,0.7654296875
step18000,4,0.9515380859375,0.7533203125
step18000,5,0.944091796875,0.74013671875
step18000,6,0.93798828125,0.75810546875
step18000,7,0.9091796875,0.7931640625
step18000,8,0.8828125,0.8033203125
step18000,9,0.891357421875,0.82197265625
step18000,10,0.845703125,0.83759765625
step18000,11,0.82666015625,0.8375
step18000,12,0.8092041015625,0.85234375
step18000,13,0.8092041015625,0.8728515625
step18000,14,0.802978515625,0.89345703125
step18000,15,0.8109130859375,0.9078125
step18000,16,0.6514892578125,0.823828125
step48000,0,0.99951171875,0.99951171875
step48000,1,0.9940185546875,0.90849609375
step48000,2,0.989990234375,0.8234375
step48000,3,0.983642578125,0.80078125
step48000,4,0.9600830078125,0.80166015625
step48000,5,0.95361328125,0.7833984375
step48000,6,0.9449462890625,0.80751953125
step48000,7,0.9227294921875,0.8396484375
step48000,8,0.9068603515625,0.85068359375
step48000,9,0.91796875,0.8634765625
step48000,10,0.89404296875,0.87294921875
step48000,11,0.869873046875,0.86181640625
step48000,12,0.8572998046875,0.8794921875
step48000,13,0.8612060546875,0.90009765625
step48000,14,0.861572265625,0.91748046875
step48000,15,0.867919921875,0.92607421875
step48000,16,0.726318359375,0.83271484375
step78000,0,1.0,1.0
step78000,1,0.9932861328125,0.88212890625
step78000,2,0.9873046875,0.78046875
step78000,3,0.9779052734375,0.74794921875
step78000,4,0.951904296875,0.766796875
step78000,5,0.9425048828125,0.74423828125
step78000,6,0.9388427734375,0.77314453125
step78000,7,0.916259765625,0.803125
step78000,8,0.894775390625,0.82001953125
step78000,9,0.912109375,0.84248046875
step78000,10,0.8868408203125,0.8669921875
step78000,11,0.857421875,0.85302734375
step78000,12,0.848876953125,0.8806640625
step78000,13,0.8582763671875,0.9033203125
step78000,14,0.8504638671875,0.92158203125
step78000,15,0.8575439453125,0.93466796875
step78000,16,0.716552734375,0.87138671875
step108000,0,1.0,1.0
step108000,1,0.9920654296875,0.84833984375
step108000,2,0.9825439453125,0.73974609375
step108000,3,0.9722900390625,0.72841796875
step108000,4,0.949951171875,0.7560546875
step108000,5,0.941650390625,0.73798828125
step108000,6,0.938232421875,0.77490234375
step108000,7,0.911376953125,0.79443359375
step108000,8,0.8909912109375,0.81494140625
step108000,9,0.9095458984375,0.84443359375
step108000,10,0.8861083984375,0.8693359375
