revision,layer,P1,P2
step64,0,1.0009765625,1.0009765625
step64,1,0.9765625,0.99697265625
step64,2,0.9495442708333334,0.99541015625
step64,3,0.9274088541666666,0.99443359375
step64,4,0.90966796875,0.99453125
step64,5,0.9012044270833334,0.99443359375
step64,6,0.8987630208333334,0.99462890625
step64,7,0.8972981770833334,0.9953125
step64,8,0.900390625,0.99560546875
step64,9,0.9090169270833334,0.99658203125
step64,10,0.9187825520833334,0.99716796875
step64,11,0.9290364583333334,0.997265625
step64,12,0.9384765625,0.99765625
step64,13,0.9466145833333334,0.99814453125
step64,14,0.955078125,0.99873046875
step64,15,0.9619140625,0.998828125
step64,16,0.9677734375,0.9984375
step256,0,0.99951171875,0.99951171875
step256,1,0.9744466145833334,0.99716796875
step256,2,0.9381510416666666,0.99365234375
step256,3,0.9031575520833334,0.99375
step256,4,0.8341471354166666,0.98916015625
step256,5,0.7926432291666666,0.98359375
step256,6,0.7732747395833334,0.98212890625
step256,7,0.7552083333333334,0.98095703125
step256,8,0.71728515625,0.98037109375
step256,9,0.7117513020833334,0.980078125
step256,10,0.7083333333333334,0.9794921875
step256,11,0.7228190104166666,0.9798828125
step256,12,0.73681640625,0.9814453125
step256,13,0.75634765625,0.982421875
step256,14,0.7775065104166666,0.98427734375
step256,15,0.77880859375,0.9845703125
step256,16,0.7928059895833334,0.98583984375
step1000,0,0.99951171875,0.99951171875
step1000,1,0.966796875,0.99677734375
step1000,2,0.9493815104166666,0.91513671875
step1000,3,0.9401041666666666,0.92880859375
step1000,4,0.8986002604166666,0.70546875
step1000,5,0.8313802083333334,0.767578125
step1000,6,0.7845052083333334,0.82060546875
step1000,7,0.7311197916666666,0.8513671875
step1000,8,0.6648763020833334,0.871484375
step1000,9,0.654296875,0.88125
step1000,10,0.6398111979166666,0.8953125
step1000,11,0.62939453125,0.90048828125
step1000,12,0.6292317708333334,0.9052734375
step1000,13,0.6243489583333334,0.908203125
step1000,14,0.6183268229166666,0.9166015625
step1000,15,0.6217447916666666,0.9232421875
step1000,16,0.6129557291666666,0.9263671875
step3000,0,1.0,1.0
step3000,1,0.94189453125,0.99462890625
step3000,2,0.9308268229166666,0.87109375
step3000,3,0.9098307291666666,0.87587890625
step3000,4,0.8971354166666666,0.7423828125
step3000,5,0.86865234375,0.7513671875
step3000,6,0.826171875,0.78349609375
step3000,7,0.7835286458333334,0.8138671875
step3000,8,0.7286783854166666,0.84306640625
step3000,9,0.71240234375,0.85009765625
step3000,10,0.6775716145833334,0.86962890625
step3000,11,0.6775716145833334,0.8748046875
step3000,12,0.6552734375,0.88740234375
step3000,13,0.6455078125,0.89384765625
step3000,14,0.63232421875,0.90166015625
step3000,15,0.6484375,0.91767578125
step3000,16,0.6717122395833334,0.92705078125
step18000,0,1.0,1.0
step18000,1,0.98779296875,0.96318359375
step18000,2,0.98291015625,0.86865234375
step18000,3,0.970703125,0.84912109375
step18000,4,0.9482421875,0.7955078125
step18000,5,0.9303385416666666,0.78310546875
step18000,6,0.9039713541666666,0.7947265625
step18000,7,0.873046875,0.811328125
step18000,8,0.8382161458333334,0.84033203125
step18000,9,0.8380533854166666,0.85546875
step18000,10,0.81787109375,0.8787109375
step18000,11,0.8224283854166666,0.88798828125
step18000,12,0.8004557291666666,0.88896484375
step18000,13,0.7980143229166666,0.89375
step18000,14,0.7841796875,0.90693359375
step18000,15,0.7736002604166666,0.916796875
step18000,16,0.6775716145833334,0.88759765625
step48000,0,1.0,1.0
step48000,1,0.9895833333333334,0.94306640625
step48000,2,0.9869791666666666,0.865625
step48000,3,0.9747721354166666,0.819140625
step48000,4,0.9619140625,0.79189453125
step48000,5,0.9488932291666666,0.7896484375
step48000,6,0.9454752604166666,0.7986328125
step48000,7,0.9230143229166666,0.80517578125
step48000,8,0.89404296875,0.838671875
step48000,9,0.89453125,0.85634765625
step48000,10,0.8816731770833334,0.874609375
step48000,11,0.87255859375,0.87197265625
step48000,12,0.8479817708333334,0.8708984375
step48000,13,0.8479817708333334,0.8810546875
step48000,14,0.8287760416666666,0.8939453125
step48000,15,0.80908203125,0.89736328125
step48000,16,0.6404622395833334,0.79443359375
step78000,0,1.0,1.0
step78000,1,0.9871419270833334,0.91171875
step78000,2,0.9835611979166666,0.81044921875
step78000,3,0.9679361979166666,0.75263671875
step78000,4,0.95361328125,0.729296875
step78000,5,0.9384765625,0.7375
step78000,6,0.9329427083333334,0.76103515625
step78000,7,0.90185546875,0.76748046875
step78000,8,0.8763020833333334,0.798046875
step78000,9,0.8798828125,0.80849609375
step78000,10,0.8704427083333334,0.82998046875
step78000,11,0.85009765625,0.8236328125
step78000,12,0.8059895833333334,0.81162109375
step78000,13,0.8037109375,0.8259765625
step78000,14,0.7890625,0.8494140625
step78000,15,0.77685546875,0.86162109375
step78000,16,0.6365559895833334,0.72578125
step108000,0,0.9990234375,0.9990234375
step108000,1,0.98974609375,0.8890625
step108000,2,0.98486328125,0.7744140625
step108000,3,0.9654947916666666,0.71689453125
step108000,4,0.9495442708333334,0.687109375
step108000,5,0.9357096354166666,0.6994140625
step108000,6,0.93017578125,0.7158203125
step108000,7,0.8955078125,0.71015625
step108000,8,0.8723958333333334,0.7552734375
step108000,9,0.8743489583333334,0.7783203125
step108000,10,0.86376953125,0.805859375
step108000,11,0.83447265625,0.80107421875
step108000,12,0.78466796875,0.78974609375
step108000,13,0.78271484375,0.81064453125
step108000,14,0.76904296875,0.83251953125
step108000,15,0.7526041666666666,0.8416015625
step108000,16,0.7355143229166666,0.74794921875
step143000,0,0.99951171875,0.99951171875
step143000,1,0.98876953125,0.87451171875
step143000,2,0.98291015625,0.73779296875
step143000,3,0.9641927083333334,0.6736328125
step143000,4,0.9456380208333334,0.64072265625
step143000,5,0.9353841145833334,0.65859375
step143000,6,0.93115234375,0.6908203125
step143000,7,0.8958333333333334,0.68837890625
step143000,8,0.8650716145833334,0.74404296875
step143000,9,0.8689778645833334,0.76142578125
step143000,10,0.8601888020833334,0.78798828125
step143000,11,0.82470703125,0.77490234375
step143000,12,0.7744140625,0.7615234375
step143000,13,0.77685546875,0.7888671875
step143000,14,0.7643229166666666,0.82080078125
step143000,15,0.7576497395833334,0.830859375
step143000,16,0.7628580729166666,0.75205078125
