revision,layer,P1,P2
step64,0,1.0,1.0
step64,1,0.97998046875,0.9982421875
step64,2,0.9593505859375,0.99833984375
step64,3,0.939453125,0.99755859375
step64,4,0.92626953125,0.99775390625
step64,5,0.918701171875,0.9974609375
step64,6,0.918212890625,0.99765625
step64,7,0.9205322265625,0.99765625
step64,8,0.923095703125,0.99775390625
step64,9,0.9305419921875,0.9982421875
step64,10,0.9385986328125,0.9986328125
step64,11,0.946044921875,0.99931640625
step64,12,0.9522705078125,0.99931640625
step64,13,0.9583740234375,0.9994140625
step64,14,0.96484375,0.999609375
step64,15,0.9700927734375,0.99970703125
step64,16,0.97509765625,0.99970703125
step256,0,0.9990234375,0.9990234375
step256,1,0.9793701171875,0.99892578125
step256,2,0.953125,0.995703125
step256,3,0.9249267578125,0.9935546875
step256,4,0.876953125,0.97626953125
step256,5,0.85302734375,0.97373046875
step256,6,0.82666015625,0.97275390625
step256,7,0.821044921875,0.972265625
step256,8,0.7900390625,0.971484375
step256,9,0.7783203125,0.9720703125
step256,10,0.7681884765625,0.97216796875
step256,11,0.774169921875,0.9732421875
step256,12,0.7869873046875,0.97431640625
step256,13,0.804931640625,0.97724609375
step256,14,0.8294677734375,0.9794921875
step256,15,0.8502197265625,0.9794921875
step256,16,0.864990234375,0.97802734375
step1000,0,1.0,1.0
step1000,1,0.97021484375,0.99853515625
step1000,2,0.94580078125,0.911328125
step1000,3,0.94287109375,0.91953125
step1000,4,0.909423828125,0.7255859375
step1000,5,0.8817138671875,0.75185546875
step1000,6,0.85107421875,0.77978515625
step1000,7,0.809326171875,0.7947265625
step1000,8,0.765869140625,0.8169921875
step1000,9,0.7410888671875,0.83134765625
step1000,10,0.71044921875,0.8421875
step1000,11,0.7066650390625,0.8427734375
step1000,12,0.6903076171875,0.8521484375
step1000,13,0.67529296875,0.85703125
step1000,14,0.6580810546875,0.8548828125
step1000,15,0.6568603515625,0.86318359375
step1000,16,0.6427001953125,0.856640625
step3000,0,0.99951171875,0.99951171875
step3000,1,0.9703369140625,0.99228515625
step3000,2,0.9615478515625,0.7375
step3000,3,0.9447021484375,0.70810546875
step3000,4,0.892333984375,0.629296875
step3000,5,0.8310546875,0.6140625
step3000,6,0.79150390625,0.596484375
step3000,7,0.7291259765625,0.586865234375
step3000,8,0.692138671875,0.589892578125
step3000,9,0.6495361328125,0.5857421875
step3000,10,0.5799560546875,0.62568359375
step3000,11,0.55987548828125,0.61162109375
step3000,12,0.5743408203125,0.619921875
step3000,13,0.5654296875,0.611279296875
step3000,14,0.51861572265625,0.6439453125
step3000,15,0.5162353515625,0.70087890625
step3000,16,0.53973388671875,0.740234375
step18000,0,1.0,1.0
step18000,1,0.9932861328125,0.9611328125
step18000,2,0.990478515625,0.80810546875
step18000,3,0.9698486328125,0.7138671875
step18000,4,0.953857421875,0.69150390625
step18000,5,0.92626953125,0.68232421875
step18000,6,0.9091796875,0.67294921875
step18000,7,0.8837890625,0.7126953125
step18000,8,0.847900390625,0.7171875
step18000,9,0.851318359375,0.72978515625
step18000,10,0.8045654296875,0.7525390625
step18000,11,0.77978515625,0.730859375
step18000,12,0.753662109375,0.74130859375
step18000,13,0.7371826171875,0.75908203125
step18000,14,0.6900634765625,0.7791015625
step18000,15,0.6435546875,0.79501953125
step18000,16,0.4532470703125,0.64814453125
step48000,0,1.0,1.0
step48000,1,0.9952392578125,0.92900390625
step48000,2,0.9927978515625,0.84169921875
step48000,3,0.9739990234375,0.7494140625
step48000,4,0.9593505859375,0.71533203125
step48000,5,0.9365234375,0.709765625
step48000,6,0.914306640625,0.70615234375
step48000,7,0.8956298828125,0.73310546875
step48000,8,0.8634033203125,0.73388671875
step48000,9,0.86474609375,0.7447265625
step48000,10,0.8341064453125,0.791015625
step48000,11,0.790771484375,0.76552734375
step48000,12,0.7869873046875,0.79091796875
step48000,13,0.7904052734375,0.821484375
step48000,14,0.756103515625,0.8294921875
step48000,15,0.7159423828125,0.84931640625
step48000,16,0.4385986328125,0.6873046875
step78000,0,0.99951171875,0.99951171875
step78000,1,0.992919921875,0.90615234375
step78000,2,0.9906005859375,0.81083984375
step78000,3,0.974609375,0.71240234375
step78000,4,0.9532470703125,0.68017578125
step78000,5,0.9130859375,0.66494140625
step78000,6,0.8909912109375,0.66279296875
step78000,7,0.862060546875,0.69697265625
step78000,8,0.8341064453125,0.69677734375
step78000,9,0.8348388671875,0.71318359375
step78000,10,0.81201171875,0.763671875
step78000,11,0.7586669921875,0.735546875
step78000,12,0.762451171875,0.77734375
step78000,13,0.774658203125,0.82880859375
step78000,14,0.7449951171875,0.84111328125
step78000,15,0.739013671875,0.87548828125
step78000,16,0.42388916015625,0.70859375
step108000,0,1.0,1.0
step108000,1,0.992431640625,0.87548828125
step108000,2,0.9903564453125,0.75263671875
step108000,3,0.97412109375,0.6234375
step108000,4,0.955810546875,0.62177734375
step108000,5,0.9237060546875,0.6189453125
step108000,6,0.8880615234375,0.62880859375
step108000,7,0.85009765625,0.6802734375
step108000,8,0.8267822265625,0.6828125
step108000,9,0.8284912109375,0.71044921875
step108000,10,0.8095703125,0.76787109375
step108000,11,0.7557373046875,0.73154296875
step108000,12,0.7606201171875,0.7833984375
step108000,13,0.768798828125,0.831640625
step108000,14,0.7286376953125,0.83818359375
step108000,15,0.701904296875,0.86181640625
step108000,16,0.51861572265625,0.7591796875
step143000,0,0.99951171875,0.99951171875
step143000,1,0.992431640625,0.8564453125
step143000,2,0.9903564453125,0.717578125
step143000,3,0.9727783203125,0.583203125
step143000,4,0.950927734375,0.5693359375
step143000,5,0.925048828125,0.5578125
step143000,6,0.89111328125,0.57666015625
step143000,7,0.8489990234375,0.63125
step143000,8,0.8214111328125,0.6318359375
step143000,9,0.82568359375,0.665625
step143000,10,0.8084716796875,0.72958984375
step143000,11,0.753173828125,0.69443359375
